url,geometry
https://patch.com/feeds/aol/california/livermore,POINT (-121.7656 37.6872)
https://patch.com/feeds/aol/california/longbeach-ca,POINT (-118.1688 33.7958)
https://patch.com/feeds/aol/california/losalamitos,POINT (-118.0698 33.7676)
https://patch.com/feeds/aol/california/losaltos,POINT (-122.1198 37.3653)
https://patch.com/feeds/aol/california/los-angeles,POINT (-118.25 34.05)
https://patch.com/feeds/aol/california/losgatos,POINT (-121.955 37.1881)
https://patch.com/feeds/aol/california/malibu,POINT (-118.785 34.037)
https://patch.com/feeds/aol/california/manhattanbeach,POINT (-118.3972 33.8893)
https://patch.com/feeds/aol/california/marinadelrey,POINT (-118.4282 33.9728)
https://patch.com/feeds/aol/california/martinez,POINT (-122.1043 38.0022)
https://patch.com/feeds/aol/california/menlopark-atherton,POINT (-122.1652 37.4668)
https://patch.com/feeds/aol/california/millvalley,POINT (-122.5415 37.908)
https://patch.com/feeds/aol/california/millbrae,POINT (-122.4024 37.5996)
https://patch.com/feeds/aol/california/milpitas,POINT (-121.8922 37.4338)
https://patch.com/feeds/aol/california/missionviejo,POINT (-117.6533 33.6124)
https://patch.com/feeds/aol/california/monrovia,POINT (-117.9918 34.1647)
https://patch.com/feeds/aol/california/montrose,POINT (-118.2434 34.2329)
https://patch.com/feeds/aol/california/moorpark,POINT (-118.8627 34.2971)
https://patch.com/feeds/aol/california/mountainview,POINT (-122.0796 37.4004)
https://patch.com/feeds/aol/california/murrieta,POINT (-117.1982 33.572)
https://patch.com/feeds/aol/california/napavalley,POINT (-122.3322 38.5188)
https://patch.com/feeds/aol/california/newark,POINT (-122.0316 37.5206)
https://patch.com/feeds/aol/california/newportbeach,POINT (-117.8886 33.6221)
https://patch.com/feeds/aol/california/northhollywood,POINT (-118.3894 34.1875)
https://patch.com/feeds/aol/california/northridge,POINT (-118.5675 34.259)
https://patch.com/feeds/aol/california/novato,POINT (-122.557 38.0921)
https://patch.com/feeds/aol/california/oceanside-camppendleton,POINT (-117.3199 33.2546)
https://patch.com/feeds/aol/california/orange-county,POINT (-117.8311 33.7175)
https://patch.com/feeds/aol/california/pacificpalisades,POINT (-118.5401 34.0768)
https://patch.com/feeds/aol/california/pacifica,POINT (-122.4777 37.6113)
https://patch.com/feeds/aol/california/palmdesert,POINT (-116.3665 33.7396)
https://patch.com/feeds/aol/california/paloalto,POINT (-122.1429 37.3958)
https://patch.com/feeds/aol/california/palosverdes,POINT (-118.3642 33.7676)
https://patch.com/feeds/aol/california/pasadena-ca,POINT (-118.1355 34.1585)
https://patch.com/feeds/aol/california/petaluma,POINT (-122.6267 38.2426)
https://patch.com/feeds/aol/california/piedmont,POINT (-122.2321 37.8226)
https://patch.com/feeds/aol/california/pinole-hercules,POINT (-122.268 38.0009)
https://patch.com/feeds/aol/california/pleasanthill,POINT (-122.0754 37.9539)
https://patch.com/feeds/aol/california/pleasanton,POINT (-121.8809 37.6674)
https://patch.com/feeds/aol/california/poway,POINT (-117.0205 32.9872)
https://patch.com/feeds/aol/california/ramona,POINT (-116.8271 33.051)
https://patch.com/feeds/aol/california/ranchobernardo-4sranch,POINT (-117.0944 33.0164)
https://patch.com/feeds/aol/california/ranchosantamargarita,POINT (-117.598 33.6315)
https://patch.com/feeds/aol/california/redlands,POINT (-117.172 34.0537)
https://patch.com/feeds/aol/california/redondobeach,POINT (-118.3765 33.8573)
https://patch.com/feeds/aol/california/redwoodcity-woodside,POINT (-122.2317 37.4803)
https://patch.com/feeds/aol/california/rockridge,POINT (-122.2424 37.8426)
https://patch.com/feeds/aol/california/rohnertpark-cotati,POINT (-122.7008 38.3435)
https://patch.com/feeds/aol/california/rosemont,POINT (-121.3552 38.5478)
https://patch.com/feeds/aol/california/roseville-ca,POINT (-121.2906 38.7611)
https://patch.com/feeds/aol/california/sacramento,POINT (-121.4944 38.5816)
https://patch.com/feeds/aol/california/sananselmofairfax,POINT (-122.5839 37.986)
https://patch.com/feeds/aol/california/sanbruno,POINT (-122.4315 37.6254)
https://patch.com/feeds/aol/california/sancarlos,POINT (-122.2676 37.4986)
https://patch.com/feeds/aol/california/sanclemente,POINT (-117.5947 33.4433)
https://patch.com/feeds/aol/california/san-diego,POINT (-117.1625 32.715)
https://patch.com/feeds/aol/california/san-francisco,POINT (-122.4167 37.7833)
https://patch.com/feeds/aol/california/sanjuancapistrano,POINT (-117.6543 33.5012)
https://patch.com/feeds/aol/california/sanleandro,POINT (-122.1621 37.706)
https://patch.com/feeds/aol/california/sanmarino,POINT (-118.1133 34.1223)
https://patch.com/feeds/aol/california/sanmateo,POINT (-122.3131 37.5522)
https://patch.com/feeds/aol/california/sanrafael,POINT (-122.5223 37.99)
https://patch.com/feeds/aol/california/sanramon,POINT (-121.9503 37.7589)
https://patch.com/feeds/aol/california/santacruz,POINT (-122.0339 36.9785)
https://patch.com/feeds/aol/california/santamonica,POINT (-118.4812 34.0234)
https://patch.com/feeds/aol/california/santee,POINT (-116.9855 32.8548)
https://patch.com/feeds/aol/california/saratoga,POINT (-122.0302 37.2652)
